都道府県名,小国A率,小国B率,小数A率,小数B率,中国A率,中国B率,中数A率,中数B率,総合点,H16参院選那谷屋正義,H16有効投票数,H19参院選神本みえ子,H19有効投票数,H19公明党得票率,H19民主党得票率,H19自民党得票率,H19共産党得票率,H19社民党得票率
北海道,60.5,46.4,66.4,47.7,72.7,59.0,60.3,45.9,458.9,19543,2748748,20800.871,2822869,12.04,43.12,25.63,8.15,3.66
青森県,70.8,55.0,77.2,53.8,75.3,61.7,65.0,50.2,509.0,355.538,607505,431,611164,9.67,38.82,33.25,5.41,4.66
岩手県,67.8,53.3,73.9,51.8,74.3,60.6,58.1,45.8,485.6,2725.612,671890,3533.719,676221,7.29,55.06,22.92,5.60,5.26
宮城県,64.2,49.2,71.3,50.4,73.8,61.8,61.4,49.1,481.2,139.298,978554,302.406,1025958,12.07,42.51,26.77,6.65,5.65
秋田県,74.4,62.9,80.7,58.9,78.6,66.8,70.1,54.7,547.1,768.488,591031,633.243,606915,9.93,34.61,36.51,6.38,7.25
山形県,68.1,52.0,73.6,51.2,76.7,64.6,65.5,51.9,503.6,1185.796,576321,2693.43,629981,10.96,39.58,33.51,5.16,4.92
福島県,66.4,50.4,73.0,50.1,74.4,60.8,61.4,48.3,484.8,333.746,965195,1837.546,980622,10.60,44.51,29.04,5.95,4.98
茨城県,65.9,49.8,71.9,50.7,74.0,62.4,63.8,48.1,486.6,2210.046,1155370,6484.924,1265388,14.44,38.10,30.35,5.44,4.29
栃木県,64.3,49.5,71.4,50.7,73.7,60.8,62.4,48.5,481.3,230.681,784554,770,885064,11.51,42.86,33.31,4.22,2.53
群馬県,66.2,50.0,72.7,50.8,75.6,63.6,65.4,52.1,496.4,1872.653,903952,1829.974,861213,10.67,33.29,39.34,5.88,4.14
埼玉県,66.2,51.8,72.3,52.5,73.2,61.1,61.1,47.8,486.0,770.741,2909457,1447,3155212,13.43,39.95,26.42,8.41,4.93
千葉県,66.7,51.4,72.8,53.2,72.8,61.6,61.7,49.1,489.3,8529.505,2470758,7477.899,2680619,12.85,41.20,27.78,6.80,3.75
東京都,68.5,54.1,74.2,55.7,73.5,61.4,62.6,48.9,498.9,2271.025,5523584,4412.54,5906748,12.16,38.88,26.07,9.39,4.33
神奈川県,65.1,50.7,71.7,53.0,73.2,61.1,62.6,48.6,486.0,19078.429,3759944,11984.975,3952613,12.02,41.11,26.82,8.13,4.87
