都道府県,生徒数,平均正答数
北海道,40952,13.3
青森県,11294,13.5
岩手県,11191,12.7
宮城県,19845,13.4
秋田県,8160,14.9
山形県,9823,13.7
福島県,17217,13.1
茨城県,25186,13.7
栃木県,17023,13.3
群馬県,17711,14.3
埼玉県,58863,12.9
千葉県,48763,13
東京都,75101,13.1
神奈川県,66114,13.2
新潟県,19203,13
富山県,9348,14.8
石川県,10416,14.6
福井県,7145,15.3
山梨県,7204,13.5
長野県,18530,13.2
岐阜県,18754,14.2
静岡県,30022,13.8
愛知県,65873,14
三重県,15926,13
滋賀県,12749,12.6
京都府,19790,13.2
大阪府,70725,12.7
兵庫県,45814,13.3
奈良県,10933,12.9
和歌山県,7986,12.5
鳥取県,4960,13.3
島根県,5872,13.3
岡山県,16633,12.9
広島県,21981,13
山口県,11324,13.3
徳島県,6311,13.1
香川県,8612,13.3
愛媛県,11839,13.8
高知県,4926,11.8
福岡県,41989,12.8
佐賀県,7857,12.4
長崎県,12180,12.9
熊本県,15883,13.6
大分県,9654,13.2
宮崎県,9767,12.8
鹿児島県,14454,13
沖縄県,14669,11.5
